C
command;subGroup;itemCategory;description;alternativeIdentifier;active;CF_equipamento;CF_LOCAL;CF_LOCAL_DO_ITEM;CF_Periodo;CF_TAG;CF_AREA;CF_tipo_eq
I;Rondas Diárias;Rotinas;Rondas Diárias;DSDRon31_;1;Rondas Diárias;Geral;dsd;;DSDRon31_;Geral;Rondas Diárias
I;Sistema de Hidrantes e SPK;Incêndio;Sistema de Hidrantes e SPK;DSDSis32_M;1;Sistema de Hidrantes e SPK;Geral;dsd;M;DSDSis32_M;Geral;Sistema de Hidrantes e SPK
I;Sistema de Incêndio;Incêndio;Sistema de Incêndio;DSDSis33_T;1;Sistema de Incêndio;Geral;dsd;T;DSDSis33_T;Geral;Sistema de Incêndio
I;Sistema de irrigação;Jardim;Sistema de irrigação;DSDSis34_S;1;Sistema de irrigação;Geral;dsd;S;DSDSis34_S;Geral;Sistema de irrigação
I;SPDA;Civil;SPDA;DSDSPD35_A;1;SPDA;Geral;dsd;A;DSDSPD35_A;Geral;SPDA
I;Tomadas, interruptores e pontos de luz;Eletrica;Tomadas, interruptores e pontos de luz;DSDTom36_A;1;Tomadas, interruptores e pontos de luz;Geral;dsd;A;DSDTom36_A;Geral;Tomadas, interruptores e pontos de luz
I;Tubulações;Hidráulica;Tubulações;DSDTub37_A;1;Tubulações;Geral;dsd;A;DSDTub37_A;Geral;Tubulações
I;Válvulas redutoras de pressão;Hidráulica;Válvulas redutoras de pressão;DSDVá38_S;1;Válvulas redutoras de pressão;Geral;dsd;S;DSDVá38_S;Geral;Válvulas redutoras de pressão
I;Ventokit;Ventilação;Ventokit Banheiro Feminino Funcionários;DSDVen39_A;1;Ventokit;Geral;dsd;A;DSDVen39_A;Geral;Ventokit
I;Vidros e seus sistemas de fixação;Civil;Vidros;DSDVid40_A;1;Vidros e seus sistemas de fixação;Geral;dsd;A;DSDVid40_A;Geral;Vidros e seus sistemas de fixação
