C
command;subGroup;itemCategory;description;alternativeIdentifier;active;CF_equipamento;CF_LOCAL;CF_LOCAL_DO_ITEM;CF_Periodo;CF_TAG;CF_AREA;CF_tipo_eq
I;Rejuntamento e vedações;Civil;Rejuntamento e vedações;SPTRej47_A;1;Rejuntamento e vedações;Geral;São Paulo Trade Building;A;SPTRej47_A;Geral;Rejuntamento e vedações
I;Reservatórios de água potável;Hidráulica;Reservatório Superior;SPTRes48_S;1;Reservatórios de água potável;Cobertura;São Paulo Trade Building;S;SPTRes48_S;Cobertura;Reservatórios de água potável
I;Reservatórios de água potável;Hidráulica;Reservatório Inferior;SPTRes49_S;1;Reservatórios de água potável;3º Subsolo;São Paulo Trade Building;S;SPTRes49_S;3º Subsolo;Reservatórios de água potável
I;Revestimentos Cerâmicos, Mármores e Granitos;Civil;Revestimentos Cerâmicos, Mármores e Granitos;SPTRev50_A;1;Revestimentos Ceâmicos, Mármores e Granitos;Geral;São Paulo Trade Building;A;SPTRev50_A;Geral;Revestimentos Cerâmicos, Mármores e Granitos
I;Rondas Diárias;Rotinas;Ronda;SPTRon51_D;1;Rondas Diárias;Geral;São Paulo Trade Building;D;SPTRon51_D;Geral;Rondas Diárias
I;Cftv, sca, sai e bms;automacao;Sistema CFTV;SPTSis52_M;1;Dados, informática, voz, telefonia, video, TV, CFTV e segurança perimetral;Geral;São Paulo Trade Building;M;SPTSis52_M;Geral;Cftv, sca, sai e bms
I;Cftv, sca, sai e bms;automacao;Sistema Controle de Acesso;SPTSis53_M;1;Dados, informática, voz, telefonia, video, TV, CFTV e segurança perimetral;Geral;São Paulo Trade Building;M;SPTSis53_M;Geral;Cftv, sca, sai e bms
I;Sistema de Hidrantes e SPK;Incêndio;Sistema de Hidrantes e SPK;SPTSis54_M;1;Sistema de Hidrantes e SPK;Geral;São Paulo Trade Building;M;SPTSis54_M;Geral;Sistema de Hidrantes e SPK
I;Sistema de Incêndio;Incêndio;Sistema de Incêndio;SPTSis55_T;1;Sistema de Incêndio;Geral;São Paulo Trade Building;T;SPTSis55_T;Geral;Sistema de Incêndio
I;Sistema de irrigação;Jardim;Sistema de irrigação;SPTSis56_SE;1;Sistema de irrigação;Geral;São Paulo Trade Building;SE;SPTSis56_SE;Geral;Sistema de irrigação
I;SPDA;Civil;SPDA;SPTSPD57_A;1;SPDA;Geral;São Paulo Trade Building;A;SPTSPD57_A;Geral;SPDA
I;Tomadas, interruptores e pontos de luz;Eletrica;Tomadas, interruptores e pontos de luz;SPTTom58_A;1;Tomadas, interruptores e pontos de luz;Geral;São Paulo Trade Building;A;SPTTom58_A;Geral;Tomadas, interruptores e pontos de luz
I;Tubulações;Hidráulica;Tubulações;SPTTub59_A;1;Tubulações;Geral;São Paulo Trade Building;A;SPTTub59_A;Geral;Tubulações
I;Válvulas redutoras de pressão;Hidráulica;Válvulas redutoras de pressão;SPTVál60_S;1;Válvulas redutoras de pressão;Geral;São Paulo Trade Building;S;SPTVál60_S;Geral;Válvulas redutoras de pressão
I;Ventokit;Ventilação;Ventokit Banheiro Feminino Funcionários;SPTVen61_A;1;Ventokit;Geral;São Paulo Trade Building;A;SPTVen61_A;Geral;Ventokit
I;Ventokit;Ventilação;Ventokit Banheiro Masculino Funcionários;SPTVen62_A;1;Ventokit;Geral;São Paulo Trade Building;A;SPTVen62_A;Geral;Ventokit
I;Vidros e seus sistemas de fixação;Civil;Vidros;SPTVid63_A;1;Vidros e seus sistemas de fixação;Geral;São Paulo Trade Building;A;SPTVid63_A;Geral;Vidros e seus sistemas de fixação

